"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2,U1";"Si8274";2;"Si8274";;;
2;"TP2,TP2,TP1,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP11,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP2,TP15,TP17,TP5,TP9,TP6,TP4,TP3,TP2";"Via_24milC";42;"TestPoint";;;
3;"C8,C4,C2,C11";"C_0603";4;"1uF";;;
4;"R11,R4";"R_0402";2;"100k";;;
5;"0.47uF1";"C_0805";1;"C";;;
6;"D8,D7";"SOD-123F";2;"D_ZENER";;;
7;"TP8,TP12,TP13,TP7";"Pad_Power";4;"TestPoint";;;
8;"C1,C12";"C_0402";2;"1uF";;;
9;"C3,C10";"C_0402";2;"100pF";;;
10;"C5,C6";"C_0603";2;"20uF";;;
11;"C7,C9";"C_0603";2;"4.7uF";;;
12;"D2,D3,D4,D5";"D_0402";4;"D_Schottky";;;
13;"Q1,Q2,Q3,Q4";"EPC_EPC203x_BGA-24";4;"NFET_EPC2";;;
14;"R1,R3";"R_0402";2;"35.7k";;;
15;"R2,R13";"R_0402";2;"150";;;
16;"R5,R10";"R_0402";2;"50m";;;
17;"R6,R7,R8,R9";"R_0402";4;"22";;;
18;"D1,D6";"DO-219AB";2;"D";;;
