Ref,Val,Package,PosX,PosY,Rot,Side
0.47uF1,C,C_0805,5.7979,-3.9521,90,top
C1,1uF,C_0402,5.061392,-3.731104,270,top
C2,1uF,C_0603,6.256793,-3.734886,270,top
C3,100pF,C_0402,5.100762,-3.8726,270,top
C4,1uF,C_0603,5.3334,-3.7576,270,top
C5,20uF,C_0603,5.455469,-4.094913,0,top
C6,20uF,C_0603,5.454923,-4.1476,0,top
C7,4.7uF,C_0603,6.2104,-4.0666,180,top
C8,1uF,C_0603,6.206793,-3.734886,270,top
C9,4.7uF,C_0603,6.2104,-4.1196,180,top
C10,100pF,C_0402,6.5034,-3.9526,90,top
C11,1uF,C_0603,5.2784,-3.7576,270,top
C12,1uF,C_0402,6.5084,-3.8476,0,top
D1,D,DO-219AB,5.2934,-4.0851,180,top
D2,D_Schottky,D_0402,5.486589,-3.853151,0,top
D3,D_Schottky,D_0402,5.486589,-4.045002,0,top
D4,D_Schottky,D_0402,6.104699,-4.069687,180,top
D5,D_Schottky,D_0402,6.11651,-3.872836,180,top
D6,D,DO-219AB,6.3634,-4.0876,0,top
D7,D_ZENER,SOD-123F,6.1934,-4.1826,180,top
D8,D_ZENER,SOD-123F,5.4684,-4.2051,0,top
Q1,NFET_EPC2,EPC_EPC203x_BGA-24,5.650415,-4.038189,0,top
Q2,NFET_EPC2,EPC_EPC203x_BGA-24,5.649915,-3.875894,0,top
Q3,NFET_EPC2,EPC_EPC203x_BGA-24,5.9464,-4.035689,180,top
Q4,NFET_EPC2,EPC_EPC203x_BGA-24,5.945951,-3.873394,180,top
R1,35.7k,R_0402,6.5084,-3.8926,0,top
R2,150,R_0402,5.049581,-3.8726,90,top
R3,35.7k,R_0402,5.100762,-3.955513,270,top
R4,100k,R_0402,6.5484,-4.0426,270,top
R5,50m,R_0402,5.2284,-3.7726,90,top
R6,22,R_0402,5.486589,-3.798033,180,top
R7,22,R_0402,5.486589,-3.989883,180,top
R8,22,R_0402,6.104699,-4.014569,180,top
R9,22,R_0402,6.11651,-3.821655,180,top
R10,50m,R_0402,6.3184,-3.7326,270,top
R11,100k,R_0402,5.049581,-3.955513,90,top
R13,150,R_0402,6.5534,-3.9526,270,top
U1,Si8274,Si8274,6.2179,-4.0296,90,top
U2,Si8274,Si8274,5.381431,-3.829529,270,top
