Ref,Val,Package,PosX,PosY,Rot,Side
0.47uF1,C,C_0805,147.26666,-100.38334,90,top
C1,1uF,C_0402,128.55936,-94.77004,270,top
C2,1uF,C_0603,158.922545,-94.866099,270,top
C3,100pF,C_0402,129.55936,-98.36404,270,top
C4,1uF,C_0603,135.46836,-95.44304,270,top
C5,20uF,C_0603,138.568921,-104.010794,0,top
C6,20uF,C_0603,138.555053,-105.34904,0,top
C7,4.7uF,C_0603,157.74416,-103.29164,180,top
C8,1uF,C_0603,157.652545,-94.866099,270,top
C9,4.7uF,C_0603,157.74416,-104.63784,180,top
C10,100pF,C_0402,165.18636,-100.39604,90,top
C11,1uF,C_0603,134.07136,-95.44304,270,top
C12,1uF,C_0402,165.31336,-97.72904,0,top
D1,D,DO-219AB,134.45236,-103.76154,180,top
D2,D_Schottky,D_0402,139.35936,-97.87004,0,top
D3,D_Schottky,D_0402,139.35936,-102.74304,0,top
D4,D_Schottky,D_0402,155.05936,-103.37004,180,top
D5,D_Schottky,D_0402,155.35936,-98.37004,180,top
D6,D,DO-219AB,161.63036,-103.82504,0,top
D7,D_ZENER,SOD-123F,157.31236,-106.23804,180,top
D8,D_ZENER,SOD-123F,138.89736,-106.80954,0,top
Q1,NFET_EPC2,EPC_EPC203x_BGA-24,143.520553,-102.569998,0,top
Q2,NFET_EPC2,EPC_EPC203x_BGA-24,143.507853,-98.447698,0,top
Q3,NFET_EPC2,EPC_EPC203x_BGA-24,151.03856,-102.506498,180,top
Q4,NFET_EPC2,EPC_EPC203x_BGA-24,151.027153,-98.384198,180,top
R1,35.7k,R_0402,165.31336,-98.87204,0,top
R2,150,R_0402,128.25936,-98.36404,90,top
R3,35.7k,R_0402,129.55936,-100.47004,270,top
R4,100k,R_0402,166.32936,-102.68204,270,top
R5,50m,R_0402,132.80136,-95.82404,90,top
R6,22,R_0402,139.35936,-96.47004,180,top
R7,22,R_0402,139.35936,-101.34304,180,top
R8,22,R_0402,155.05936,-101.97004,180,top
R9,22,R_0402,155.35936,-97.07004,180,top
R10,50m,R_0402,160.48736,-94.80804,270,top
R11,100k,R_0402,128.25936,-100.47004,90,top
R13,150,R_0402,166.45636,-100.39604,270,top
U1,Si8274,Si8274,157.93466,-102.35184,90,top
U2,Si8274,Si8274,136.68836,-97.27004,270,top
