Ref,Val,Package,PosX,PosY,Rot,Side
"0.47uF1","C","C_0805",20.307300,7.886700,90.000000,top
"C1","1uF","C_0402",1.600000,13.500000,270.000000,top
"C2","1uF","C_0603",31.963185,13.403941,270.000000,top
"C3","100pF","C_0402",2.600000,9.906000,270.000000,top
"C4","1uF","C_0603",8.509000,12.827000,270.000000,top
"C5","20uF","C_0603",11.609561,4.259246,0.000000,top
"C6","20uF","C_0603",11.595693,2.921000,0.000000,top
"C7","4.7uF","C_0603",30.784800,4.978400,180.000000,top
"C8","1uF","C_0603",30.693185,13.403941,270.000000,top
"C9","4.7uF","C_0603",30.784800,3.632200,180.000000,top
"C10","100pF","C_0402",38.227000,7.874000,90.000000,top
"C11","1uF","C_0603",7.112000,12.827000,270.000000,top
"C12","1uF","C_0402",38.354000,10.541000,0.000000,top
"D2","D_Schottky","D_0402",12.400000,10.400000,0.000000,top
"D3","D_Schottky","D_0402",12.400000,5.527000,0.000000,top
"D4","D_Schottky","D_0402",28.100000,4.900000,180.000000,top
"D5","D_Schottky","D_0402",28.400000,9.900000,180.000000,top
"D7","D_ZENER","SOD-123F",30.353000,2.032000,180.000000,top
"D8","D_ZENER","SOD-123F",11.938000,1.460500,0.000000,top
"R1","35.7k","R_0402",38.354000,9.398000,0.000000,top
"R2","150","R_0402",1.300000,9.906000,90.000000,top
"R3","35.7k","R_0402",2.600000,7.800000,270.000000,top
"R4","100k","R_0402",39.370000,5.588000,270.000000,top
"R5","50m","R_0402",5.842000,12.446000,90.000000,top
"R6","22","R_0402",12.400000,11.800000,180.000000,top
"R7","22","R_0402",12.400000,6.927000,180.000000,top
"R8","22","R_0402",28.100000,6.300000,180.000000,top
"R9","22","R_0402",28.400000,11.200000,180.000000,top
"R10","50m","R_0402",33.528000,13.462000,270.000000,top
"R11","100k","R_0402",1.300000,7.800000,90.000000,top
"R13","150","R_0402",39.497000,7.874000,270.000000,top
