Ref,Val,Package,PosX,PosY,Rot,Side
"C5","2.2 uF","C_2220_Sm",12.600000,95.000000,-0.000000,bottom
"C6","2.2 uF","C_2220_Sm",-28.900000,72.600000,180.000000,bottom
"C7","2.2 uF","C_2220_Sm",-42.500000,72.600000,180.000000,bottom
"C8","2.2 uF","C_2220_Sm",-42.000000,67.000000,0.000000,bottom
"C9","2.2 uF","C_2220_Sm",12.100000,67.000000,180.000000,bottom
"C17","2.2 uF","C_2220_Sm",-56.100000,12.200000,180.000000,bottom
"C18","2.2 uF","C_2220_Sm",12.100000,61.400000,180.000000,bottom
"C19","2.2 uF","C_2220_Sm",-42.000000,72.600000,0.000000,bottom
"C20","2.2 uF","C_2220_Sm",-42.500000,67.000000,180.000000,bottom
"C23","2.2 uF","C_2220_Sm",12.600000,100.600000,-0.000000,bottom
"C24","2.2 uF","C_2220_Sm",-42.000000,100.600000,0.000000,bottom
"C25","2.2 uF","C_2220_Sm",-42.500000,39.000000,180.000000,bottom
"C26","2.2 uF","C_2220_Sm",-28.900000,39.000000,180.000000,bottom
"C27","2.2 uF","C_2220_Sm",-14.800000,6.600000,0.000000,bottom
"C28","2.2 uF","C_2220_Sm",-1.100000,34.600000,0.000000,bottom
"C29","2.2 uF","C_2220_Sm",12.600000,78.200000,-0.000000,bottom
"C30","2.2 uF","C_2220_Sm",-42.500000,89.400000,180.000000,bottom
"C42","2.2 uF","C_2220_Sm",-28.900000,67.000000,180.000000,bottom
"C54","2.2 uF","C_2220_Sm",12.100000,78.200000,180.000000,bottom
"C55","2.2 uF","C_2220_Sm",-42.000000,55.800000,0.000000,bottom
"C56","2.2 uF","C_2220_Sm",-42.500000,83.800000,180.000000,bottom
"C57","2.2 uF","C_2220_Sm",-42.000000,50.200000,0.000000,bottom
"C58","2.2 uF","C_2220_Sm",-28.900000,83.800000,180.000000,bottom
"C64","2.2 uF","C_2220_Sm",-56.100000,23.400000,180.000000,bottom
"C65","2.2 uF","C_2220_Sm",12.100000,44.600000,180.000000,bottom
"C66","2.2 uF","C_2220_Sm",-1.100000,29.000000,0.000000,bottom
"C67","2.2 uF","C_2220_Sm",-1.100000,6.600000,0.000000,bottom
"C69","2.2 uF","C_2220_Sm",12.100000,83.800000,180.000000,bottom
"C79","2.2 uF","C_2220_Sm",-28.900000,44.706105,180.000000,bottom
"C98","2.2 uF","C_2220_Sm",-42.500000,100.600000,180.000000,bottom
"C99","2.2 uF","C_2220_Sm",12.100000,55.800000,180.000000,bottom
"C100","2.2 uF","C_2220_Sm",-42.000000,78.200000,0.000000,bottom
"C101","2.2 uF","C_2220_Sm",-42.500000,61.400000,180.000000,bottom
"C102","2.2 uF","C_2220_Sm",-28.900000,61.400000,180.000000,bottom
"C103","2.2 uF","C_2220_Sm",-28.900000,100.600000,180.000000,bottom
"C104","2.2 uF","C_2220_Sm",-1.100000,12.200000,0.000000,bottom
"C107","2.2 uF","C_2220_Sm",-1.100000,23.400000,0.000000,bottom
"C109","2.2 uF","C_2220_Sm",12.100000,72.600000,180.000000,bottom
"C110","2.2 uF","C_2220_Sm",12.600000,89.400000,-0.000000,bottom
"C111","2.2 uF","C_2220_Sm",-42.500000,78.200000,180.000000,bottom
"C112","2.2 uF","C_2220_Sm",-28.900000,78.200000,180.000000,bottom
"C113","2.2 uF","C_2220_Sm",-56.100000,-4.600000,180.000000,bottom
"C114","2.2 uF","C_2220_Sm",-42.000000,89.400000,0.000000,bottom
