x-axis,V1,V2,I1,I2,P1,P2
second,Volt,Volt,Ampere,Ampere,Watt,Watt
-50.00000E-03,+397.77518836E+00,+397.94233791E+00,+2.32277817E+00,+388.68584E-03,+923.46900946E+00,+154.94249716E+00
-49.95000E-03,+397.71531853E+00,+397.82305064E+00,+2.32553093E+00,+334.73228E-03,+924.54909017E+00,+133.42270589E+00
-49.90000E-03,+397.65544869E+00,+397.70376337E+00,+2.32332872E+00,+281.32927E-03,+923.46900946E+00,+111.90291461E+00
-49.85000E-03,+397.53570902E+00,+397.64411973E+00,+2.32938479E+00,+267.56560E-03,+925.62917088E+00,+106.52296680E+00
-49.80000E-03,+397.65544869E+00,+397.70376337E+00,+2.32828368E+00,+244.44265E-03,+925.62917088E+00,+96.83906072E+00
-49.75000E-03,+397.65544869E+00,+397.64411973E+00,+2.33268810E+00,+213.06150E-03,+927.78933231E+00,+85.00317552E+00
-49.70000E-03,+397.65544869E+00,+397.70376337E+00,+2.33158700E+00,+186.63527E-03,+926.70925160E+00,+74.24327989E+00
-49.65000E-03,+397.59557886E+00,+397.64411973E+00,+2.34039582E+00,+166.26505E-03,+931.02957445E+00,+65.63536338E+00
-49.60000E-03,+397.59557886E+00,+397.58447610E+00,+2.32993534E+00,+137.63663E-03,+926.70925160E+00,+54.87546774E+00
-49.55000E-03,+397.53570902E+00,+397.52483246E+00,+2.32773313E+00,+120.56969E-03,+925.62917088E+00,+48.41953036E+00
-49.50000E-03,+397.47583918E+00,+397.58447610E+00,+2.32718258E+00,+118.91805E-03,+924.54909017E+00,+47.34354080E+00
-49.45000E-03,+397.71531853E+00,+397.64411973E+00,+2.31947485E+00,+93.59291E-03,+922.38892875E+00,+37.65963473E+00
-49.40000E-03,+397.65544869E+00,+397.58447610E+00,+2.31727265E+00,+69.91941E-03,+921.30884803E+00,+27.97572865E+00
-49.35000E-03,+397.59557886E+00,+397.58447610E+00,+2.32277817E+00,+50.09973E-03,+923.46900946E+00,+20.44380171E+00
