x-axis,V1,V2,I1,I2,P1,P2
second,Volt,Volt,Ampere,Ampere,Watt,Watt
-50.00000E-03,+303.83941616E+00,+303.94396792E+00,+1.91077292E+00,+508.70498E-03,+580.81554736E+00,+154.94249716E+00
-49.95000E-03,+303.95915583E+00,+304.06325520E+00,+1.90542703E+00,+575.32110E-03,+579.31731293E+00,+175.38629887E+00
-49.90000E-03,+303.83941616E+00,+303.94396792E+00,+1.90873639E+00,+616.06155E-03,+579.81672441E+00,+187.22218406E+00
-49.85000E-03,+303.83941616E+00,+303.82468065E+00,+1.92044643E+00,+661.75691E-03,+583.31260474E+00,+201.21004839E+00
-49.80000E-03,+303.71967648E+00,+303.76503702E+00,+1.92375579E+00,+701.94680E-03,+584.31142770E+00,+213.04593359E+00
-49.75000E-03,+303.65980665E+00,+303.76503702E+00,+1.93470213E+00,+743.23779E-03,+587.30789656E+00,+225.95780835E+00
-49.70000E-03,+303.54006698E+00,+303.58610611E+00,+1.94590304E+00,+819.21321E-03,+590.80377689E+00,+248.55358919E+00
-49.65000E-03,+303.42032731E+00,+303.52646247E+00,+1.95124892E+00,+888.58207E-03,+591.80259985E+00,+270.07338046E+00
-49.60000E-03,+303.42032731E+00,+303.46681884E+00,+1.96219526E+00,+940.88399E-03,+595.29848018E+00,+285.13723435E+00
-49.55000E-03,+303.36045747E+00,+303.34753157E+00,+1.96779572E+00,+1.02401651E+00,+596.79671461E+00,+310.96098388E+00
-49.50000E-03,+303.30058763E+00,+303.34753157E+00,+1.96881398E+00,+1.08457663E+00,+597.29612609E+00,+329.25280646E+00
-49.45000E-03,+303.24071780E+00,+303.28788793E+00,+1.98205142E+00,+1.15229385E+00,+600.79200643E+00,+349.69660817E+00
-49.40000E-03,+303.06110829E+00,+303.10895702E+00,+1.98510621E+00,+1.19743866E+00,+601.79082938E+00,+362.60848293E+00
-49.35000E-03,+302.94136862E+00,+302.98966975E+00,+2.00063474E+00,+1.26020096E+00,+606.28553267E+00,+381.97629507E+00
-49.30000E-03,+302.88149879E+00,+302.87038248E+00,+2.01081738E+00,+1.34498513E+00,+609.28200153E+00,+407.80004460E+00
-49.25000E-03,+302.82162895E+00,+302.75109521E+00,+2.01896350E+00,+1.41380344E+00,+611.27964743E+00,+428.24384631E+00
-49.20000E-03,+302.70188928E+00,+302.69145157E+00,+2.01998176E+00,+1.52171056E+00,+611.27964744E+00,+460.52353322E+00
-49.15000E-03,+302.64201944E+00,+302.63180794E+00,+2.03296463E+00,+1.58006849E+00,+615.27493925E+00,+477.73936623E+00
-49.10000E-03,+302.64201944E+00,+302.51252067E+00,+2.03831052E+00,+1.66540320E+00,+616.77317368E+00,+503.56311576E+00
-49.05000E-03,+302.52227977E+00,+302.51252067E+00,+2.05078426E+00,+1.73532260E+00,+620.26905401E+00,+525.08290703E+00
-49.00000E-03,+302.46240994E+00,+302.51252067E+00,+2.05460275E+00,+1.80028709E+00,+621.26787697E+00,+544.45071918E+00
-48.95000E-03,+302.34267026E+00,+302.33358976E+00,+2.06478539E+00,+1.86525158E+00,+624.26434583E+00,+563.81853132E+00
-48.90000E-03,+302.22293059E+00,+302.21430249E+00,+2.07675000E+00,+1.94838410E+00,+627.76022616E+00,+588.56629128E+00
-48.85000E-03,+302.04332109E+00,+302.15465885E+00,+2.09609702E+00,+2.03537045E+00,+633.25375241E+00,+615.46603037E+00
-48.80000E-03,+302.04332109E+00,+302.09501521E+00,+2.10831619E+00,+2.11024478E+00,+636.74963274E+00,+636.98582165E+00
-48.75000E-03,+301.86371158E+00,+301.91608431E+00,+2.12409928E+00,+2.18622019E+00,+641.24433603E+00,+659.58160248E+00
-48.70000E-03,+301.68410207E+00,+301.73715340E+00,+2.13351823E+00,+2.25283632E+00,+643.74139342E+00,+680.02540419E+00
-48.65000E-03,+301.68410207E+00,+301.73715340E+00,+2.13249996E+00,+2.32275573E+00,+643.24198194E+00,+700.46920590E+00
-48.60000E-03,+301.68410207E+00,+301.79679704E+00,+2.13199083E+00,+2.38661912E+00,+643.24198194E+00,+719.83701804E+00
-48.55000E-03,+301.50449256E+00,+301.49857886E+00,+2.13962781E+00,+2.45763962E+00,+645.23962785E+00,+741.35680931E+00
-48.50000E-03,+301.50449256E+00,+301.37929159E+00,+2.14981046E+00,+2.53691832E+00,+648.23609671E+00,+765.02857971E+00
-48.45000E-03,+301.38475289E+00,+301.37929159E+00,+2.16635725E+00,+2.63326396E+00,+652.73080000E+00,+794.08029793E+00
-48.40000E-03,+301.38475289E+00,+301.43893522E+00,+2.16152050E+00,+2.69712736E+00,+651.23256557E+00,+813.44811007E+00
-48.35000E-03,+301.32488306E+00,+301.37929159E+00,+2.15948397E+00,+2.74392381E+00,+650.73315409E+00,+827.43597440E+00
-48.30000E-03,+301.26501322E+00,+301.31964795E+00,+2.17195771E+00,+2.80998939E+00,+654.22903443E+00,+846.80378655E+00
-48.25000E-03,+301.02553388E+00,+301.14071704E+00,+2.19435952E+00,+2.88596481E+00,+660.72138362E+00,+869.39956738E+00
-48.20000E-03,+300.90579421E+00,+301.02142977E+00,+2.20123280E+00,+2.94487329E+00,+662.21961805E+00,+886.61540040E+00
-48.15000E-03,+300.96566404E+00,+300.90214250E+00,+2.20556043E+00,+3.02965745E+00,+663.71785248E+00,+911.36316036E+00
-48.10000E-03,+300.96566404E+00,+300.90214250E+00,+2.20734239E+00,+3.10067795E+00,+664.21726396E+00,+932.88295163E+00
-48.05000E-03,+300.78605454E+00,+300.78285523E+00,+2.20886979E+00,+3.15793479E+00,+664.21726396E+00,+950.09878465E+00
-48.00000E-03,+300.78605454E+00,+300.90214250E+00,+2.21447024E+00,+3.21629272E+00,+666.21490987E+00,+967.31461767E+00
-47.95000E-03,+300.66631486E+00,+300.78285523E+00,+2.20683326E+00,+3.25593206E+00,+663.71785248E+00,+979.15050287E+00
-47.90000E-03,+300.78605454E+00,+300.78285523E+00,+2.21599764E+00,+3.32805366E+00,+666.71432134E+00,+1.00067029414E+03
-47.85000E-03,+300.72618470E+00,+300.78285523E+00,+2.22567115E+00,+3.40898399E+00,+669.21137873E+00,+1.02541805410E+03
-47.80000E-03,+300.60644503E+00,+300.66356796E+00,+2.21701590E+00,+3.45357826E+00,+666.21490987E+00,+1.03832992887E+03
-47.75000E-03,+300.66631486E+00,+300.60392432E+00,+2.22261635E+00,+3.49927362E+00,+668.21255577E+00,+1.05231779319E+03
-47.70000E-03,+300.48670536E+00,+300.54428068E+00,+2.22821681E+00,+3.55377773E+00,+669.71079020E+00,+1.06845763665E+03
-47.65000E-03,+300.42683552E+00,+300.48463705E+00,+2.23687205E+00,+3.61103456E+00,+672.20784759E+00,+1.08459748010E+03
-47.60000E-03,+300.54657519E+00,+300.54428068E+00,+2.23712662E+00,+3.63911244E+00,+672.20784759E+00,+1.09320539661E+03
-47.55000E-03,+300.42683552E+00,+300.54428068E+00,+2.24501817E+00,+3.69471763E+00,+674.70490497E+00,+1.11042122963E+03
-47.50000E-03,+300.30709585E+00,+300.36534978E+00,+2.25290972E+00,+3.74867119E+00,+676.70255088E+00,+1.12548508352E+03
-47.45000E-03,+300.48670536E+00,+300.42499341E+00,+2.24858209E+00,+3.80592803E+00,+675.70372792E+00,+1.14377690610E+03
-47.40000E-03,+300.42683552E+00,+300.42499341E+00,+2.23559922E+00,+3.83290481E+00,+671.70843611E+00,+1.15130883304E+03
-47.35000E-03,+300.36696569E+00,+300.36534978E+00,+2.23534466E+00,+3.83951137E+00,+671.20902463E+00,+1.15346081217E+03
-47.30000E-03,+300.36696569E+00,+300.36534978E+00,+2.23509009E+00,+3.87144306E+00,+671.20902463E+00,+1.16314471824E+03
-47.25000E-03,+300.36696569E+00,+300.36534978E+00,+2.23610835E+00,+3.89456602E+00,+671.70843611E+00,+1.16960065562E+03
-47.20000E-03,+300.36696569E+00,+300.30570614E+00,+2.24170881E+00,+3.90832968E+00,+673.20667054E+00,+1.17390461388E+03
-47.15000E-03,+300.30709585E+00,+300.36534978E+00,+2.23356269E+00,+3.96558652E+00,+670.70961316E+00,+1.19112044690E+03
-47.10000E-03,+300.48670536E+00,+300.42499341E+00,+2.22898050E+00,+3.97549635E+00,+669.71079020E+00,+1.19434841559E+03
-47.05000E-03,+300.36696569E+00,+300.42499341E+00,+2.23610835E+00,+3.98320401E+00,+671.70843611E+00,+1.19650039471E+03
-47.00000E-03,+300.36696569E+00,+300.36534978E+00,+2.24603643E+00,+4.02064117E+00,+674.70490497E+00,+1.20726029035E+03
-46.95000E-03,+300.42683552E+00,+300.48463705E+00,+2.23203530E+00,+3.98981056E+00,+670.70961316E+00,+1.19865237384E+03
-46.90000E-03,+300.36696569E+00,+300.42499341E+00,+2.22618028E+00,+4.00302368E+00,+668.71196725E+00,+1.20295633209E+03
-46.85000E-03,+300.30709585E+00,+300.36534978E+00,+2.23305356E+00,+3.99366439E+00,+670.70961316E+00,+1.19972836340E+03
-46.80000E-03,+300.36696569E+00,+300.24606251E+00,+2.23203530E+00,+4.04376412E+00,+670.21020168E+00,+1.21371622773E+03
-46.75000E-03,+300.30709585E+00,+300.48463705E+00,+2.22770767E+00,+4.03991030E+00,+669.21137873E+00,+1.21371622773E+03
-46.70000E-03,+300.42683552E+00,+300.48463705E+00,+2.22465288E+00,+4.00522587E+00,+668.21255577E+00,+1.20403232166E+03
-46.65000E-03,+300.30709585E+00,+300.36534978E+00,+2.21854330E+00,+4.03110155E+00,+666.21490987E+00,+1.21048825904E+03
-46.60000E-03,+300.36696569E+00,+300.42499341E+00,+2.22465288E+00,+4.00907969E+00,+668.21255577E+00,+1.20403232166E+03
-46.55000E-03,+300.36696569E+00,+300.36534978E+00,+2.21803416E+00,+3.99146220E+00,+666.21490987E+00,+1.19865237384E+03
-46.50000E-03,+300.36696569E+00,+300.36534978E+00,+2.21854330E+00,+3.97164253E+00,+666.21490987E+00,+1.19327242602E+03
-46.45000E-03,+300.30709585E+00,+300.36534978E+00,+2.23356269E+00,+3.93750865E+00,+670.70961316E+00,+1.18251253039E+03
-46.40000E-03,+300.30709585E+00,+300.30570614E+00,+2.23254443E+00,+3.91493624E+00,+670.21020168E+00,+1.17605659300E+03
-46.35000E-03,+300.12748634E+00,+300.24606251E+00,+2.23738118E+00,+3.93530646E+00,+671.70843611E+00,+1.18143654082E+03
-46.30000E-03,+300.24722601E+00,+300.30570614E+00,+2.22363462E+00,+3.92980099E+00,+667.71314430E+00,+1.18036055126E+03
-46.25000E-03,+300.48670536E+00,+300.54428068E+00,+2.20225107E+00,+3.87529689E+00,+661.72020658E+00,+1.16422070781E+03
-46.20000E-03,+300.48670536E+00,+300.54428068E+00,+2.19486865E+00,+3.80537748E+00,+659.72256067E+00,+1.14377690610E+03
