x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-25.00000E-03,+389.23116910E+00,+63.59832501E+00,+5.02092040E+00,+2.77694039E+00
-24.97500E-03,+389.64957914E+00,+63.59832501E+00,+6.69456053E+00,+2.78865587E+00
-24.95000E-03,+390.90480924E+00,+63.59832501E+00,+8.36820066E+00,+2.79869771E+00
-24.92500E-03,+387.97593901E+00,+63.59832501E+00,+7.94979063E+00,+2.80204499E+00
-24.90000E-03,+385.88388884E+00,+63.59832501E+00,+10.04184079E+00,+2.81041319E+00
-24.87500E-03,+385.88388884E+00,+63.17991498E+00,+9.62343076E+00,+2.81710775E+00
-24.85000E-03,+385.04706877E+00,+63.59832501E+00,+11.71548092E+00,+2.81710775E+00
-24.82500E-03,+384.62865874E+00,+63.59832501E+00,+12.13389096E+00,+2.81710775E+00
-24.80000E-03,+385.88388884E+00,+63.59832501E+00,+13.38912106E+00,+2.82045503E+00
-24.77500E-03,+382.53660858E+00,+63.17991498E+00,+14.22594112E+00,+2.81543411E+00
-24.75000E-03,+382.53660858E+00,+62.76150495E+00,+15.89958125E+00,+2.80873955E+00
-24.72500E-03,+381.28137848E+00,+63.17991498E+00,+16.31799129E+00,+2.80706591E+00
-24.70000E-03,+380.86296844E+00,+61.92468488E+00,+15.06276119E+00,+2.80706591E+00
-24.67500E-03,+379.18932831E+00,+63.17991498E+00,+17.15481135E+00,+2.80790273E+00
-24.65000E-03,+379.18932831E+00,+61.92468488E+00,+19.24686152E+00,+2.81208683E+00
-24.62500E-03,+377.93409821E+00,+63.17991498E+00,+18.41004145E+00,+2.81710775E+00
-24.60000E-03,+377.51568818E+00,+61.92468488E+00,+20.08368158E+00,+2.82380231E+00
-24.57500E-03,+376.26045808E+00,+61.92468488E+00,+18.82845148E+00,+2.82966006E+00
-24.55000E-03,+375.84204805E+00,+62.76150495E+00,+21.75732172E+00,+2.82380231E+00
-24.52500E-03,+375.84204805E+00,+62.34309492E+00,+23.43096185E+00,+2.81710775E+00
-24.50000E-03,+375.84204805E+00,+61.92468488E+00,+23.43096185E+00,+2.80706591E+00
-24.47500E-03,+372.91317782E+00,+60.25104475E+00,+22.17573175E+00,+2.79953453E+00
-24.45000E-03,+372.49476779E+00,+62.76150495E+00,+23.43096185E+00,+2.79869771E+00
-24.42500E-03,+372.49476779E+00,+61.92468488E+00,+25.10460198E+00,+2.79786089E+00
-24.40000E-03,+372.49476779E+00,+61.92468488E+00,+25.10460198E+00,+2.80037135E+00
-24.37500E-03,+370.82112765E+00,+61.92468488E+00,+26.35983208E+00,+2.80288181E+00
-24.35000E-03,+369.14748752E+00,+61.08786482E+00,+26.77824211E+00,+2.80706591E+00
-24.32500E-03,+370.40271762E+00,+60.66945478E+00,+27.19665214E+00,+2.80622909E+00
-24.30000E-03,+367.47384739E+00,+60.25104475E+00,+30.12552238E+00,+2.80037135E+00
-24.27500E-03,+367.47384739E+00,+59.41422468E+00,+28.45188224E+00,+2.80120817E+00
-24.25000E-03,+366.63702732E+00,+61.08786482E+00,+29.28870231E+00,+2.79535043E+00
-24.22500E-03,+365.80020726E+00,+61.50627485E+00,+30.54393241E+00,+2.79283997E+00
-24.20000E-03,+365.80020726E+00,+58.57740462E+00,+30.12552238E+00,+2.79367679E+00
-24.17500E-03,+364.12656713E+00,+61.92468488E+00,+32.21757254E+00,+2.78949269E+00
-24.15000E-03,+364.96338719E+00,+59.41422468E+00,+32.63598257E+00,+2.78363495E+00
-24.12500E-03,+364.54497716E+00,+60.25104475E+00,+33.47280264E+00,+2.78112449E+00
-24.10000E-03,+362.45292699E+00,+60.25104475E+00,+33.47280264E+00,+2.78363495E+00
-24.07500E-03,+362.45292699E+00,+60.25104475E+00,+33.47280264E+00,+2.79116633E+00
-24.05000E-03,+361.61610693E+00,+61.08786482E+00,+34.30962270E+00,+2.79367679E+00
-24.02500E-03,+362.03451696E+00,+58.57740462E+00,+35.14644277E+00,+2.79535043E+00
-24.00000E-03,+359.10564673E+00,+61.92468488E+00,+35.14644277E+00,+2.79032951E+00
-23.97500E-03,+360.77928686E+00,+60.25104475E+00,+36.82008290E+00,+2.78865587E+00
-23.95000E-03,+360.77928686E+00,+59.41422468E+00,+36.82008290E+00,+2.78698223E+00
-23.92500E-03,+359.10564673E+00,+60.25104475E+00,+38.07531300E+00,+2.78112449E+00
-23.90000E-03,+359.10564673E+00,+60.25104475E+00,+38.49372303E+00,+2.78028767E+00
-23.87500E-03,+356.59518653E+00,+57.74058455E+00,+38.07531300E+00,+2.77442993E+00
-23.85000E-03,+359.94246680E+00,+59.41422468E+00,+40.16736317E+00,+2.77191947E+00
-23.82500E-03,+356.17677650E+00,+58.57740462E+00,+39.74895313E+00,+2.76522491E+00
-23.80000E-03,+357.43200660E+00,+58.57740462E+00,+40.16736317E+00,+2.76689855E+00
-23.77500E-03,+357.43200660E+00,+58.57740462E+00,+40.16736317E+00,+2.76020399E+00
-23.75000E-03,+358.26882666E+00,+57.74058455E+00,+41.00418323E+00,+2.76020399E+00
-23.72500E-03,+357.01359656E+00,+57.32217452E+00,+40.58577320E+00,+2.75936717E+00
-23.70000E-03,+355.75836647E+00,+56.90376449E+00,+40.16736317E+00,+2.76355127E+00
-23.67500E-03,+354.08472633E+00,+57.32217452E+00,+40.16736317E+00,+2.76187763E+00
-23.65000E-03,+355.75836647E+00,+58.57740462E+00,+41.84100330E+00,+2.76020399E+00
-23.62500E-03,+355.75836647E+00,+56.90376449E+00,+41.84100330E+00,+2.75601989E+00
-23.60000E-03,+352.41108620E+00,+58.57740462E+00,+41.84100330E+00,+2.76020399E+00
-23.57500E-03,+354.08472633E+00,+57.32217452E+00,+42.25941333E+00,+2.76020399E+00
-23.55000E-03,+354.92154640E+00,+57.74058455E+00,+42.67782336E+00,+2.75853035E+00
-23.52500E-03,+354.08472633E+00,+57.32217452E+00,+42.25941333E+00,+2.75769353E+00
-23.50000E-03,+352.41108620E+00,+58.57740462E+00,+43.51464343E+00,+2.76020399E+00
-23.47500E-03,+353.66631630E+00,+56.48535445E+00,+43.51464343E+00,+2.75936717E+00
-23.45000E-03,+354.08472633E+00,+57.74058455E+00,+43.51464343E+00,+2.75518307E+00
-23.42500E-03,+351.15585610E+00,+58.15899459E+00,+43.93305346E+00,+2.75434625E+00
-23.40000E-03,+352.41108620E+00,+58.57740462E+00,+45.18828356E+00,+2.75350943E+00
-23.37500E-03,+352.41108620E+00,+56.90376449E+00,+44.76987353E+00,+2.75434625E+00
-23.35000E-03,+352.41108620E+00,+57.74058455E+00,+45.18828356E+00,+2.75685671E+00
-23.32500E-03,+352.41108620E+00,+58.15899459E+00,+45.18828356E+00,+2.75518307E+00
-23.30000E-03,+352.41108620E+00,+56.90376449E+00,+43.51464343E+00,+2.75685671E+00
-23.27500E-03,+352.41108620E+00,+58.57740462E+00,+45.18828356E+00,+2.75601989E+00
-23.25000E-03,+353.24790627E+00,+56.90376449E+00,+45.18828356E+00,+2.75350943E+00
-23.22500E-03,+353.66631630E+00,+56.90376449E+00,+45.18828356E+00,+2.74848850E+00
-23.20000E-03,+352.41108620E+00,+56.90376449E+00,+46.86192369E+00,+2.75685671E+00
-23.17500E-03,+352.41108620E+00,+56.90376449E+00,+45.18828356E+00,+2.76020399E+00
-23.15000E-03,+352.41108620E+00,+57.74058455E+00,+45.18828356E+00,+2.75518307E+00
-23.12500E-03,+351.99267617E+00,+56.90376449E+00,+45.18828356E+00,+2.75350943E+00
-23.10000E-03,+352.41108620E+00,+55.23012435E+00,+43.51464343E+00,+2.75350943E+00
-23.07500E-03,+352.41108620E+00,+57.32217452E+00,+44.76987353E+00,+2.74681486E+00
-23.05000E-03,+353.24790627E+00,+56.06694442E+00,+44.35146350E+00,+2.75016215E+00
-23.02500E-03,+352.41108620E+00,+56.90376449E+00,+45.18828356E+00,+2.75434625E+00
-23.00000E-03,+352.41108620E+00,+56.90376449E+00,+45.18828356E+00,+2.75685671E+00
-22.97500E-03,+352.41108620E+00,+58.15899459E+00,+44.76987353E+00,+2.75601989E+00
-22.95000E-03,+353.24790627E+00,+57.74058455E+00,+45.18828356E+00,+2.75350943E+00
-22.92500E-03,+354.08472633E+00,+57.32217452E+00,+43.93305346E+00,+2.75350943E+00
-22.90000E-03,+352.41108620E+00,+56.90376449E+00,+45.18828356E+00,+2.75016215E+00
-22.87500E-03,+353.24790627E+00,+58.57740462E+00,+43.51464343E+00,+2.75016215E+00
-22.85000E-03,+353.24790627E+00,+58.57740462E+00,+43.51464343E+00,+2.75016215E+00
-22.82500E-03,+354.08472633E+00,+58.15899459E+00,+43.51464343E+00,+2.74765168E+00
-22.80000E-03,+354.08472633E+00,+56.90376449E+00,+43.51464343E+00,+2.76020399E+00
-22.77500E-03,+354.50313637E+00,+58.15899459E+00,+41.84100330E+00,+2.76271445E+00
-22.75000E-03,+354.08472633E+00,+57.74058455E+00,+42.67782336E+00,+2.76187763E+00
-22.72500E-03,+354.08472633E+00,+58.15899459E+00,+41.84100330E+00,+2.76355127E+00
-22.70000E-03,+354.08472633E+00,+58.57740462E+00,+40.16736317E+00,+2.76355127E+00
-22.67500E-03,+355.33995643E+00,+57.32217452E+00,+41.42259327E+00,+2.77275629E+00
-22.65000E-03,+354.92154640E+00,+58.57740462E+00,+40.16736317E+00,+2.77694039E+00
-22.62500E-03,+354.50313637E+00,+59.83263472E+00,+40.16736317E+00,+2.77777721E+00
-22.60000E-03,+355.75836647E+00,+58.57740462E+00,+41.84100330E+00,+2.78698223E+00
-22.57500E-03,+357.43200660E+00,+57.32217452E+00,+38.49372303E+00,+2.78949269E+00
-22.55000E-03,+355.75836647E+00,+59.41422468E+00,+39.33054310E+00,+2.79367679E+00
-22.52500E-03,+357.43200660E+00,+58.57740462E+00,+38.49372303E+00,+2.79618725E+00
-22.50000E-03,+357.43200660E+00,+60.25104475E+00,+40.16736317E+00,+2.80037135E+00
-22.47500E-03,+359.10564673E+00,+58.99581465E+00,+38.07531300E+00,+2.79953453E+00
-22.45000E-03,+359.10564673E+00,+59.41422468E+00,+37.65690297E+00,+2.80204499E+00
-22.42500E-03,+358.68723670E+00,+58.57740462E+00,+36.82008290E+00,+2.80539227E+00
-22.40000E-03,+360.77928686E+00,+58.57740462E+00,+36.82008290E+00,+2.81710775E+00
-22.37500E-03,+360.77928686E+00,+60.25104475E+00,+33.89121267E+00,+2.80957637E+00
-22.35000E-03,+361.61610693E+00,+59.41422468E+00,+35.98326284E+00,+2.80873955E+00
-22.32500E-03,+360.77928686E+00,+60.25104475E+00,+35.98326284E+00,+2.81125001E+00
-22.30000E-03,+362.45292699E+00,+61.92468488E+00,+33.47280264E+00,+2.80706591E+00
-22.27500E-03,+363.28974706E+00,+60.25104475E+00,+33.47280264E+00,+2.81878139E+00
-22.25000E-03,+363.28974706E+00,+61.08786482E+00,+32.63598257E+00,+2.82045503E+00
-22.22500E-03,+362.87133703E+00,+59.83263472E+00,+31.79916251E+00,+2.82798642E+00
-22.20000E-03,+365.80020726E+00,+61.92468488E+00,+31.79916251E+00,+2.82380231E+00
-22.17500E-03,+365.38179722E+00,+60.25104475E+00,+31.79916251E+00,+2.82212867E+00
-22.15000E-03,+364.96338719E+00,+61.92468488E+00,+29.28870231E+00,+2.82045503E+00
-22.12500E-03,+365.80020726E+00,+61.92468488E+00,+28.87029228E+00,+2.82129185E+00
-22.10000E-03,+365.80020726E+00,+61.92468488E+00,+28.45188224E+00,+2.82714960E+00
-22.07500E-03,+367.05543736E+00,+60.66945478E+00,+28.45188224E+00,+2.82631278E+00
-22.05000E-03,+367.47384739E+00,+61.08786482E+00,+26.77824211E+00,+2.82882324E+00
-22.02500E-03,+367.47384739E+00,+61.92468488E+00,+27.19665214E+00,+2.82547595E+00
-22.00000E-03,+369.14748752E+00,+63.59832501E+00,+26.77824211E+00,+2.83049688E+00
-21.97500E-03,+370.82112765E+00,+62.34309492E+00,+25.10460198E+00,+2.83384416E+00
-21.95000E-03,+371.65794772E+00,+61.08786482E+00,+25.10460198E+00,+2.82882324E+00
-21.92500E-03,+370.82112765E+00,+63.17991498E+00,+23.01255181E+00,+2.82966006E+00
-21.90000E-03,+372.49476779E+00,+63.59832501E+00,+23.43096185E+00,+2.83049688E+00
-21.87500E-03,+371.23953769E+00,+63.59832501E+00,+22.17573175E+00,+2.82714960E+00
-21.85000E-03,+372.49476779E+00,+63.59832501E+00,+20.92050165E+00,+2.82714960E+00
-21.82500E-03,+374.58681795E+00,+61.92468488E+00,+20.08368158E+00,+2.82714960E+00
-21.80000E-03,+375.84204805E+00,+61.92468488E+00,+20.08368158E+00,+2.83384416E+00
-21.77500E-03,+374.58681795E+00,+61.92468488E+00,+18.41004145E+00,+2.83468098E+00
-21.75000E-03,+376.67886811E+00,+63.59832501E+00,+18.41004145E+00,+2.83551780E+00
-21.72500E-03,+376.26045808E+00,+63.59832501E+00,+17.57322139E+00,+2.83049688E+00
-21.70000E-03,+377.51568818E+00,+65.27196515E+00,+16.73640132E+00,+2.83049688E+00
-21.67500E-03,+379.18932831E+00,+63.59832501E+00,+14.64435115E+00,+2.83049688E+00
-21.65000E-03,+379.18932831E+00,+63.59832501E+00,+15.06276119E+00,+2.83384416E+00
-21.62500E-03,+380.02614838E+00,+63.59832501E+00,+12.13389096E+00,+2.83300734E+00
-21.60000E-03,+382.53660858E+00,+63.59832501E+00,+15.06276119E+00,+2.83719144E+00
-21.57500E-03,+383.79183868E+00,+64.85355511E+00,+12.13389096E+00,+2.83719144E+00
