x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-25.00000E-03,+357.51568818E+00,+53.72384739E+00,+43.68200660E+00,+2.88274052E+00
-24.97500E-03,+357.51568818E+00,+56.65271762E+00,+42.84518653E+00,+2.88274052E+00
-24.95000E-03,+357.51568818E+00,+55.39748752E+00,+43.68200660E+00,+2.88608780E+00
-24.92500E-03,+357.51568818E+00,+54.97907749E+00,+43.68200660E+00,+2.88441416E+00
-24.90000E-03,+357.51568818E+00,+55.39748752E+00,+42.00836647E+00,+2.87604596E+00
-24.87500E-03,+355.42363802E+00,+56.65271762E+00,+43.26359656E+00,+2.86767776E+00
-24.85000E-03,+357.51568818E+00,+56.23430759E+00,+42.00836647E+00,+2.85930956E+00
-24.82500E-03,+356.26045808E+00,+57.48953769E+00,+43.26359656E+00,+2.85094136E+00
-24.80000E-03,+359.18932831E+00,+55.39748752E+00,+43.68200660E+00,+2.84257316E+00
-24.77500E-03,+359.18932831E+00,+55.39748752E+00,+41.17154640E+00,+2.84926772E+00
-24.75000E-03,+358.35250825E+00,+55.39748752E+00,+42.00836647E+00,+2.84257316E+00
-24.72500E-03,+360.44455841E+00,+55.39748752E+00,+40.75313637E+00,+2.83587860E+00
-24.70000E-03,+359.18932831E+00,+57.07112765E+00,+40.33472633E+00,+2.83587860E+00
-24.67500E-03,+357.93409821E+00,+56.65271762E+00,+40.75313637E+00,+2.81914219E+00
-24.65000E-03,+359.18932831E+00,+56.23430759E+00,+41.17154640E+00,+2.81914219E+00
-24.62500E-03,+357.93409821E+00,+56.65271762E+00,+39.91631630E+00,+2.81579491E+00
-24.60000E-03,+360.86296844E+00,+55.39748752E+00,+38.66108620E+00,+2.80910035E+00
-24.57500E-03,+360.86296844E+00,+57.07112765E+00,+39.07949623E+00,+2.80910035E+00
-24.55000E-03,+360.86296844E+00,+57.07112765E+00,+40.33472633E+00,+2.80910035E+00
-24.52500E-03,+362.53660858E+00,+57.48953769E+00,+39.07949623E+00,+2.80407943E+00
-24.50000E-03,+359.18932831E+00,+57.07112765E+00,+38.66108620E+00,+2.79571123E+00
-24.47500E-03,+362.53660858E+00,+57.07112765E+00,+38.66108620E+00,+2.78734303E+00
-24.45000E-03,+362.53660858E+00,+57.07112765E+00,+37.82426614E+00,+2.78566939E+00
-24.42500E-03,+362.53660858E+00,+57.07112765E+00,+36.98744607E+00,+2.78232211E+00
-24.40000E-03,+364.21024871E+00,+58.74476779E+00,+36.98744607E+00,+2.78232211E+00
-24.37500E-03,+363.79183868E+00,+57.07112765E+00,+36.15062600E+00,+2.78399575E+00
-24.35000E-03,+365.04706877E+00,+57.90794772E+00,+36.15062600E+00,+2.78232211E+00
-24.32500E-03,+365.88388884E+00,+57.48953769E+00,+35.31380594E+00,+2.77562755E+00
-24.30000E-03,+365.88388884E+00,+58.74476779E+00,+36.98744607E+00,+2.76893299E+00
-24.27500E-03,+366.30229887E+00,+58.74476779E+00,+33.64016581E+00,+2.76893299E+00
-24.25000E-03,+368.39434904E+00,+57.90794772E+00,+33.64016581E+00,+2.76558571E+00
-24.22500E-03,+367.55752897E+00,+58.74476779E+00,+34.05857584E+00,+2.75721751E+00
-24.20000E-03,+367.55752897E+00,+58.74476779E+00,+31.96652567E+00,+2.76223843E+00
-24.17500E-03,+369.23116910E+00,+58.74476779E+00,+31.96652567E+00,+2.75387023E+00
-24.15000E-03,+370.06798917E+00,+59.58158785E+00,+30.29288554E+00,+2.75219658E+00
-24.12500E-03,+369.23116910E+00,+59.16317782E+00,+30.71129557E+00,+2.75387023E+00
-24.10000E-03,+370.90480924E+00,+58.74476779E+00,+28.61924541E+00,+2.74215474E+00
-24.07500E-03,+370.90480924E+00,+60.41840792E+00,+30.29288554E+00,+2.73043926E+00
-24.05000E-03,+371.74162930E+00,+59.58158785E+00,+28.61924541E+00,+2.73880746E+00
-24.02500E-03,+372.57844937E+00,+59.99999788E+00,+28.20083538E+00,+2.73713382E+00
-24.00000E-03,+374.25208950E+00,+60.41840792E+00,+26.94560528E+00,+2.74215474E+00
-23.97500E-03,+374.25208950E+00,+58.74476779E+00,+26.94560528E+00,+2.74048110E+00
-23.95000E-03,+375.92572963E+00,+60.41840792E+00,+26.94560528E+00,+2.73546018E+00
-23.92500E-03,+375.92572963E+00,+60.41840792E+00,+25.69037518E+00,+2.73043926E+00
-23.90000E-03,+375.92572963E+00,+60.41840792E+00,+23.59832501E+00,+2.72876562E+00
-23.87500E-03,+377.59936976E+00,+59.16317782E+00,+24.01673505E+00,+2.73043926E+00
-23.85000E-03,+378.43618983E+00,+60.41840792E+00,+24.43514508E+00,+2.73546018E+00
-23.82500E-03,+378.01777980E+00,+60.41840792E+00,+21.92468488E+00,+2.74215474E+00
-23.80000E-03,+380.94665003E+00,+62.09204805E+00,+21.92468488E+00,+2.74215474E+00
-23.77500E-03,+380.94665003E+00,+61.67363802E+00,+18.99581465E+00,+2.73713382E+00
-23.75000E-03,+381.78347009E+00,+60.41840792E+00,+20.25104475E+00,+2.73880746E+00
-23.72500E-03,+380.94665003E+00,+61.67363802E+00,+16.90376449E+00,+2.74215474E+00
-23.70000E-03,+384.29393029E+00,+60.41840792E+00,+20.25104475E+00,+2.74215474E+00
-23.67500E-03,+382.20188013E+00,+60.41840792E+00,+18.15899459E+00,+2.74215474E+00
-23.65000E-03,+385.13075036E+00,+61.25522798E+00,+16.06694442E+00,+2.74550202E+00
-23.62500E-03,+385.96757042E+00,+60.41840792E+00,+16.90376449E+00,+2.74550202E+00
-23.60000E-03,+384.29393029E+00,+60.41840792E+00,+13.55648422E+00,+2.74884930E+00
-23.57500E-03,+387.64121056E+00,+63.34727815E+00,+13.55648422E+00,+2.74550202E+00
-23.55000E-03,+387.64121056E+00,+60.41840792E+00,+13.55648422E+00,+2.74550202E+00
-23.52500E-03,+387.64121056E+00,+62.09204805E+00,+12.30125412E+00,+2.74215474E+00
-23.50000E-03,+387.64121056E+00,+60.41840792E+00,+11.88284409E+00,+2.74884930E+00
-23.47500E-03,+389.73326072E+00,+62.09204805E+00,+9.37238389E+00,+2.74884930E+00
-23.45000E-03,+390.98849082E+00,+62.92886811E+00,+10.20920396E+00,+2.74215474E+00
-23.42500E-03,+392.66213095E+00,+62.09204805E+00,+8.95397386E+00,+2.74048110E+00
-23.40000E-03,+390.98849082E+00,+63.76568818E+00,+8.53556383E+00,+2.74215474E+00
-23.37500E-03,+392.66213095E+00,+61.25522798E+00,+6.44351366E+00,+2.73043926E+00
-23.35000E-03,+395.17259115E+00,+62.92886811E+00,+5.18828356E+00,+2.73211290E+00
-23.32500E-03,+395.59100118E+00,+62.09204805E+00,+6.44351366E+00,+2.72876562E+00
-23.30000E-03,+394.33577108E+00,+62.09204805E+00,+5.18828356E+00,+2.73546018E+00
-23.27500E-03,+397.26464131E+00,+61.67363802E+00,+4.76987353E+00,+2.73378654E+00
-23.25000E-03,+397.68305135E+00,+61.25522798E+00,+3.51464343E+00,+2.73211290E+00
-23.22500E-03,+398.10146138E+00,+62.09204805E+00,+2.25941333E+00,+2.73546018E+00
-23.20000E-03,+401.03033161E+00,+62.09204805E+00,+1.84100330E+00,+2.73546018E+00
-23.17500E-03,+399.35669148E+00,+63.34727815E+00,+167.36317E-03,+2.73043926E+00
-23.15000E-03,+401.03033161E+00,+62.92886811E+00,+167.36317E-03,+2.72876562E+00
-23.12500E-03,+402.28556171E+00,+62.09204805E+00,-3.17991710E+00,+2.72876562E+00
-23.10000E-03,+404.37761188E+00,+60.41840792E+00,-1.50627697E+00,+2.72876562E+00
-23.07500E-03,+403.95920184E+00,+62.51045808E+00,-1.92468700E+00,+2.73043926E+00
-23.05000E-03,+403.54079181E+00,+62.09204805E+00,-4.85355723E+00,+2.72541834E+00
-23.02500E-03,+407.30648211E+00,+62.09204805E+00,-3.59832713E+00,+2.72039742E+00
