x-axis,V1,V2,I1,I2,P1,P2
second,Volt,Volt,Ampere,Ampere,Watt,Watt
-50.00000E-03,+179.49759532E+00,+179.46694003E+00,+1.96474092E+00,+104.05329E-03,+352.55200449E+00,+18.51222976E+00
-49.95000E-03,+179.60896346E+00,+179.66107827E+00,+1.95455828E+00,+79.27870E-03,+351.15851831E+00,+14.00925495E+00
-49.90000E-03,+179.66464753E+00,+179.68881231E+00,+1.94208454E+00,+31.38115E-03,+348.83604134E+00,+5.50363587E+00
-49.85000E-03,+179.60896346E+00,+179.66107827E+00,+1.95404915E+00,+40.74044E-03,+350.92627061E+00,+7.50495801E+00
-49.80000E-03,+179.60896346E+00,+179.63334424E+00,+1.95939504E+00,+66.06558E-03,+351.85526140E+00,+12.00793282E+00
-49.75000E-03,+179.66464753E+00,+179.68881231E+00,+1.95124892E+00,+103.50274E-03,+350.46177522E+00,+18.51222976E+00
-49.70000E-03,+179.72033160E+00,+179.71654634E+00,+1.95354002E+00,+118.91805E-03,+351.15851831E+00,+21.51421296E+00
-49.65000E-03,+179.74817363E+00,+179.77201441E+00,+1.94081171E+00,+137.63663E-03,+348.83604134E+00,+24.51619617E+00
-49.60000E-03,+179.83169973E+00,+179.82748248E+00,+1.93928432E+00,+151.40029E-03,+348.83604134E+00,+27.01784884E+00
-49.55000E-03,+179.85954177E+00,+179.82748248E+00,+1.93699322E+00,+187.73636E-03,+348.37154594E+00,+33.52214578E+00
-49.50000E-03,+179.91522584E+00,+179.91068459E+00,+1.92681058E+00,+235.08336E-03,+346.74581206E+00,+42.52809539E+00
-49.45000E-03,+179.97090991E+00,+179.96615266E+00,+1.92528318E+00,+263.71178E-03,+346.51356436E+00,+47.53140073E+00
-49.40000E-03,+179.97090991E+00,+179.96615266E+00,+1.93011994E+00,+285.18309E-03,+347.44255515E+00,+51.53404500E+00
-49.35000E-03,+179.94306787E+00,+179.93841862E+00,+1.92579232E+00,+331.97955E-03,+346.51356436E+00,+59.53933355E+00
-49.30000E-03,+179.94306787E+00,+179.96615266E+00,+1.92528318E+00,+390.33748E-03,+346.51356436E+00,+70.04627476E+00
-49.25000E-03,+180.02659397E+00,+180.07708880E+00,+1.92579232E+00,+447.59431E-03,+346.74581206E+00,+80.55321598E+00
-49.20000E-03,+180.11012008E+00,+180.10482283E+00,+1.91840990E+00,+466.31289E-03,+345.58457358E+00,+84.05552972E+00
-49.15000E-03,+180.02659397E+00,+180.16029090E+00,+1.92095556E+00,+507.60388E-03,+345.81682127E+00,+91.56048773E+00
-49.10000E-03,+179.99875194E+00,+180.10482283E+00,+1.92808341E+00,+577.52329E-03,+346.97805976E+00,+104.06875108E+00
-49.05000E-03,+179.97090991E+00,+180.07708880E+00,+1.93393843E+00,+640.83614E-03,+348.13929825E+00,+115.57635336E+00
-49.00000E-03,+180.08227804E+00,+180.07708880E+00,+1.92375579E+00,+697.54243E-03,+346.51356436E+00,+125.58296404E+00
-48.95000E-03,+180.05443601E+00,+180.10482283E+00,+1.93088364E+00,+738.83342E-03,+347.67480285E+00,+133.08792205E+00
-48.90000E-03,+180.11012008E+00,+180.04935476E+00,+1.91790077E+00,+805.44955E-03,+345.35232588E+00,+145.09585487E+00
-48.85000E-03,+180.11012008E+00,+180.07708880E+00,+1.92222839E+00,+866.00966E-03,+346.28131667E+00,+156.10312662E+00
-48.80000E-03,+180.08227804E+00,+180.10482283E+00,+1.91942816E+00,+908.95229E-03,+345.58457358E+00,+163.60808463E+00
-48.75000E-03,+180.05443601E+00,+179.99388669E+00,+1.92451949E+00,+967.86077E-03,+346.51356436E+00,+174.11502584E+00
-48.70000E-03,+179.97090991E+00,+179.96615266E+00,+1.92935624E+00,+1.02016268E+00,+347.21030746E+00,+183.62130599E+00
-48.65000E-03,+179.97090991E+00,+179.99388669E+00,+1.93011994E+00,+1.10219411E+00,+347.44255515E+00,+198.63122201E+00
-48.60000E-03,+179.88738380E+00,+179.96615266E+00,+1.93724779E+00,+1.19633757E+00,+348.37154594E+00,+215.14212963E+00
-48.55000E-03,+179.99875194E+00,+179.99388669E+00,+1.92884711E+00,+1.25965042E+00,+347.21030746E+00,+226.64973191E+00
-48.50000E-03,+179.97090991E+00,+180.02162073E+00,+1.92528318E+00,+1.27671736E+00,+346.51356436E+00,+229.65171512E+00
-48.45000E-03,+179.97090991E+00,+179.88295055E+00,+1.93724779E+00,+1.33837857E+00,+348.60379364E+00,+240.65898687E+00
-48.40000E-03,+179.85954177E+00,+179.88295055E+00,+1.94132085E+00,+1.42591546E+00,+349.06828904E+00,+256.66956396E+00
-48.35000E-03,+179.83169973E+00,+179.82748248E+00,+1.94361194E+00,+1.50629525E+00,+349.53278443E+00,+270.67881891E+00
-48.30000E-03,+179.77601567E+00,+179.77201441E+00,+1.94233911E+00,+1.58832668E+00,+349.30053673E+00,+285.68873493E+00
-48.25000E-03,+179.85954177E+00,+179.85521652E+00,+1.95277632E+00,+1.66320101E+00,+351.15851831E+00,+299.19765935E+00
-48.20000E-03,+179.85954177E+00,+179.85521652E+00,+1.94590304E+00,+1.72596331E+00,+349.99727982E+00,+310.20493110E+00
-48.15000E-03,+179.91522584E+00,+179.91068459E+00,+1.94666673E+00,+1.79863545E+00,+350.22952752E+00,+323.71385552E+00
-48.10000E-03,+179.85954177E+00,+179.88295055E+00,+1.94666673E+00,+1.86139775E+00,+350.22952752E+00,+334.72112726E+00
-48.05000E-03,+179.85954177E+00,+179.91068459E+00,+1.94972153E+00,+1.92305896E+00,+350.69402292E+00,+346.22872955E+00
-48.00000E-03,+179.83169973E+00,+179.85521652E+00,+1.94997609E+00,+2.00178711E+00,+350.69402292E+00,+360.23798450E+00
-47.95000E-03,+179.83169973E+00,+179.85521652E+00,+1.96066787E+00,+2.05078575E+00,+352.55200449E+00,+368.74360358E+00
-47.90000E-03,+179.83169973E+00,+179.88295055E+00,+1.95328545E+00,+2.12841281E+00,+351.15851831E+00,+382.75285853E+00
-47.85000E-03,+179.77601567E+00,+179.82748248E+00,+1.95506741E+00,+2.23026392E+00,+351.39076601E+00,+401.26508829E+00
-47.80000E-03,+179.80385770E+00,+179.85521652E+00,+1.95175805E+00,+2.31064371E+00,+350.92627061E+00,+415.77467378E+00
-47.75000E-03,+179.88738380E+00,+179.88295055E+00,+1.95354002E+00,+2.34753032E+00,+351.39076601E+00,+422.27897072E+00
-47.70000E-03,+179.80385770E+00,+179.82748248E+00,+1.95608568E+00,+2.41029262E+00,+351.62301371E+00,+433.28624247E+00
-47.65000E-03,+179.80385770E+00,+179.82748248E+00,+1.95939504E+00,+2.47085274E+00,+352.31975680E+00,+444.29351422E+00
-47.60000E-03,+179.80385770E+00,+179.77201441E+00,+1.95990417E+00,+2.55838964E+00,+352.31975680E+00,+459.80376077E+00
-47.55000E-03,+179.83169973E+00,+179.79974845E+00,+1.95481285E+00,+2.62060139E+00,+351.62301371E+00,+471.31136306E+00
-47.50000E-03,+179.85954177E+00,+179.82748248E+00,+1.95048522E+00,+2.68226260E+00,+350.92627061E+00,+482.31863480E+00
-47.45000E-03,+179.99875194E+00,+179.99388669E+00,+1.94844870E+00,+2.75823802E+00,+350.69402292E+00,+496.32788976E+00
-47.40000E-03,+179.99875194E+00,+179.99388669E+00,+1.94488477E+00,+2.82485415E+00,+349.99727982E+00,+508.33582257E+00
