x-axis,V1,V2,I1,I2,P1,P2
second,Volt,Volt,Ampere,Ampere,Watt,Watt
-50.00000E-03,+190.80146126E+00,+190.75469224E+00,+944.44012E-03,+55.48080E-03,+180.22421310E+00,+10.63915317E+00
-49.95000E-03,+190.80146126E+00,+190.83789435E+00,+941.13076E-03,+59.80729E-03,+179.52747001E+00,+11.33301099E+00
-49.90000E-03,+190.85714533E+00,+190.83789435E+00,+944.44012E-03,+53.95381E-03,+180.22421310E+00,+10.40786723E+00
-49.85000E-03,+190.82930329E+00,+190.81016031E+00,+945.45838E-03,+55.48080E-03,+180.45646080E+00,+10.63915317E+00
-49.80000E-03,+190.82930329E+00,+190.86562838E+00,+941.13076E-03,+60.06179E-03,+179.52747001E+00,+11.56429693E+00
-49.75000E-03,+190.80146126E+00,+190.83789435E+00,+939.60336E-03,+60.57078E-03,+179.29522231E+00,+11.56429693E+00
-49.70000E-03,+190.88498736E+00,+190.89336242E+00,+944.94925E-03,+66.42426E-03,+180.45646080E+00,+12.72072662E+00
-49.65000E-03,+190.91282940E+00,+190.92109645E+00,+946.47665E-03,+60.57078E-03,+180.68870850E+00,+11.56429693E+00
-49.60000E-03,+190.82930329E+00,+190.94883049E+00,+941.13076E-03,+58.28029E-03,+179.52747001E+00,+11.10172505E+00
-49.55000E-03,+190.88498736E+00,+190.92109645E+00,+939.85793E-03,+49.11832E-03,+179.29522231E+00,+9.48272348E+00
-49.50000E-03,+190.91282940E+00,+190.97656452E+00,+935.53031E-03,+67.18776E-03,+178.59847922E+00,+12.72072662E+00
-49.45000E-03,+190.91282940E+00,+190.92109645E+00,+934.00291E-03,+73.80474E-03,+178.36623152E+00,+14.10844225E+00
-49.40000E-03,+190.94067143E+00,+190.89336242E+00,+932.22095E-03,+74.56823E-03,+177.90173613E+00,+14.33972819E+00
-49.35000E-03,+190.94067143E+00,+190.92109645E+00,+930.18442E-03,+102.56313E-03,+177.66948843E+00,+19.65930477E+00
-49.30000E-03,+190.91282940E+00,+190.97656452E+00,+928.14789E-03,+114.01559E-03,+177.20499304E+00,+21.74087822E+00
-49.25000E-03,+190.94067143E+00,+190.94883049E+00,+932.73008E-03,+124.19556E-03,+178.13398383E+00,+23.82245167E+00
-49.20000E-03,+190.88498736E+00,+190.92109645E+00,+940.11249E-03,+137.93851E-03,+179.52747001E+00,+26.36659699E+00
-49.15000E-03,+190.88498736E+00,+190.86562838E+00,+943.93099E-03,+154.48095E-03,+180.22421310E+00,+29.37331419E+00
-49.10000E-03,+190.82930329E+00,+190.89336242E+00,+943.93099E-03,+179.93086E-03,+180.22421310E+00,+34.46160484E+00
-49.05000E-03,+190.82930329E+00,+190.92109645E+00,+944.69468E-03,+204.87177E-03,+180.22421310E+00,+39.08732361E+00
-49.00000E-03,+190.85714533E+00,+190.89336242E+00,+932.22095E-03,+219.12372E-03,+177.90173613E+00,+41.86275487E+00
-48.95000E-03,+190.85714533E+00,+190.86562838E+00,+934.25748E-03,+242.53763E-03,+178.36623152E+00,+46.25718770E+00
-48.90000E-03,+190.85714533E+00,+190.89336242E+00,+939.09423E-03,+266.46055E-03,+179.29522231E+00,+50.88290647E+00
-48.85000E-03,+190.77361923E+00,+190.78242628E+00,+947.49491E-03,+313.79738E-03,+180.68870850E+00,+59.90305808E+00
-48.80000E-03,+190.80146126E+00,+190.83789435E+00,+956.15016E-03,+329.57632E-03,+182.54669007E+00,+62.90977528E+00
-48.75000E-03,+190.71793516E+00,+190.78242628E+00,+959.45952E-03,+357.31672E-03,+183.01118547E+00,+68.22935186E+00
-48.70000E-03,+190.69009312E+00,+190.75469224E+00,+950.80427E-03,+383.02113E-03,+181.38545159E+00,+73.08635657E+00
-48.65000E-03,+190.63440905E+00,+190.67149014E+00,+951.82253E-03,+414.83352E-03,+181.38545159E+00,+79.09979097E+00
-48.60000E-03,+190.71793516E+00,+190.64375610E+00,+962.00518E-03,+452.75388E-03,+183.47568086E+00,+86.26965507E+00
-48.55000E-03,+190.63440905E+00,+190.64375610E+00,+961.75061E-03,+467.26033E-03,+183.24343317E+00,+89.04508633E+00
-48.50000E-03,+190.52304092E+00,+190.58828803E+00,+977.02457E-03,+512.56117E-03,+186.03040553E+00,+97.60266606E+00
-48.45000E-03,+190.49519888E+00,+190.56055400E+00,+976.77001E-03,+528.59461E-03,+186.03040553E+00,+100.84066920E+00
-48.40000E-03,+190.52304092E+00,+190.50508593E+00,+976.77001E-03,+558.88001E-03,+186.03040553E+00,+106.39153172E+00
-48.35000E-03,+190.38383075E+00,+190.39414979E+00,+982.37046E-03,+612.57931E-03,+186.95939632E+00,+116.56811302E+00
-48.30000E-03,+190.41167278E+00,+190.44961786E+00,+980.84307E-03,+638.53822E-03,+186.72714863E+00,+121.65640366E+00
-48.25000E-03,+190.41167278E+00,+190.39414979E+00,+984.66156E-03,+668.06012E-03,+187.42389172E+00,+127.20726619E+00
-48.20000E-03,+190.30030464E+00,+190.33868172E+00,+999.42639E-03,+691.98303E-03,+190.21086408E+00,+131.60169902E+00
-48.15000E-03,+190.27246261E+00,+190.31094768E+00,+999.17182E-03,+748.73633E-03,+190.21086408E+00,+142.47213813E+00
-48.10000E-03,+190.21677854E+00,+190.25547961E+00,+1.00044465E+00,+784.11170E-03,+190.21086408E+00,+149.17943035E+00
-48.05000E-03,+190.21677854E+00,+190.20001154E+00,+1.00706337E+00,+854.86245E-03,+191.60435027E+00,+162.59401478E+00
-48.00000E-03,+190.16109447E+00,+190.20001154E+00,+1.00935447E+00,+860.71593E-03,+191.83659797E+00,+163.75044447E+00
-47.95000E-03,+190.04972633E+00,+190.14454347E+00,+1.01419122E+00,+888.45633E-03,+192.76558876E+00,+168.83873512E+00
-47.90000E-03,+190.04972633E+00,+190.11680944E+00,+1.03201085E+00,+925.35870E-03,+196.24930421E+00,+176.00859922E+00
-47.85000E-03,+189.96620023E+00,+190.03360734E+00,+1.02691952E+00,+974.47702E-03,+195.08806573E+00,+185.26003676E+00
-47.80000E-03,+189.99404226E+00,+189.97813927E+00,+1.03608390E+00,+1.00578041E+00,+196.94604731E+00,+191.04218522E+00
-47.75000E-03,+189.93835820E+00,+189.89493716E+00,+1.03481107E+00,+1.05286274E+00,+196.48155191E+00,+199.83105088E+00
-47.70000E-03,+189.82699006E+00,+189.81173506E+00,+1.04092066E+00,+1.07882165E+00,+197.64279040E+00,+204.68805559E+00
-47.65000E-03,+189.71562192E+00,+189.78400102E+00,+1.05237613E+00,+1.11292453E+00,+199.73301967E+00,+211.16406187E+00
-47.60000E-03,+189.71562192E+00,+189.83946909E+00,+1.05721289E+00,+1.15109939E+00,+200.66201046E+00,+218.56521190E+00
-47.55000E-03,+189.65993785E+00,+189.75626699E+00,+1.05874028E+00,+1.18418427E+00,+200.89425816E+00,+224.80993224E+00
-47.50000E-03,+189.60425378E+00,+189.67306488E+00,+1.07146859E+00,+1.25289903E+00,+203.21673513E+00,+237.53065886E+00
-47.45000E-03,+189.57641175E+00,+189.61759681E+00,+1.05823115E+00,+1.29819987E+00,+200.66201046E+00,+246.08823859E+00
-47.40000E-03,+189.57641175E+00,+189.56212874E+00,+1.07045032E+00,+1.29769087E+00,+202.98448744E+00,+246.08823859E+00
-47.35000E-03,+189.49288565E+00,+189.53439471E+00,+1.07885100E+00,+1.31117932E+00,+204.37797362E+00,+248.40109797E+00
-47.30000E-03,+189.43720158E+00,+189.45119260E+00,+1.09081561E+00,+1.37709459E+00,+206.70045059E+00,+260.89053865E+00
