x-axis,V1,V2,I1,I2,P1,P2
second,Volt,Volt,Ampere,Ampere,Watt,Watt
-50.00000E-03,+96.21449951E+00,+96.15127499E+00,+1.04155592E+00,+1.69063747E+00,+100.22880311E+00,+162.54226040E+00
-49.95000E-03,+96.25334790E+00,+96.21577142E+00,+1.03753035E+00,+1.66213357E+00,+99.87712309E+00,+159.96051702E+00
-49.90000E-03,+96.16270167E+00,+96.17707356E+00,+1.04202951E+00,+1.63286617E+00,+100.22880311E+00,+157.05605571E+00
-49.85000E-03,+96.17565113E+00,+96.22867070E+00,+1.04143752E+00,+1.58960133E+00,+100.17856310E+00,+152.96829536E+00
-49.80000E-03,+96.13680274E+00,+96.15127499E+00,+1.04901505E+00,+1.57534938E+00,+100.83168312E+00,+151.46227839E+00
-49.75000E-03,+96.13680274E+00,+96.13837570E+00,+1.05185663E+00,+1.54862697E+00,+101.13312313E+00,+148.88053501E+00
-49.70000E-03,+96.16270167E+00,+96.21577142E+00,+1.04960705E+00,+1.53361153E+00,+100.93216313E+00,+147.58966331E+00
-49.65000E-03,+96.20155005E+00,+96.22867070E+00,+1.04475269E+00,+1.49161918E+00,+100.53024311E+00,+143.50190296E+00
-49.60000E-03,+96.25334790E+00,+96.26736856E+00,+1.04143752E+00,+1.45089932E+00,+100.22880311E+00,+139.62928789E+00
-49.55000E-03,+96.17565113E+00,+96.22867070E+00,+1.04664707E+00,+1.40967047E+00,+100.68096312E+00,+135.64910017E+00
-49.50000E-03,+96.14975221E+00,+96.16417427E+00,+1.04143752E+00,+1.37505859E+00,+100.12832310E+00,+132.20677567E+00
-49.45000E-03,+96.16270167E+00,+96.13837570E+00,+1.04605508E+00,+1.34579120E+00,+100.58048312E+00,+129.40988700E+00
-49.40000E-03,+96.20155005E+00,+96.17707356E+00,+1.04333190E+00,+1.31296081E+00,+100.37952311E+00,+126.29028042E+00
-49.35000E-03,+96.14975221E+00,+96.12547642E+00,+1.04356870E+00,+1.29081939E+00,+100.32928311E+00,+124.03125496E+00
-49.30000E-03,+96.14975221E+00,+96.13837570E+00,+1.03859594E+00,+1.24144657E+00,+99.87712309E+00,+119.29805876E+00
-49.25000E-03,+96.14975221E+00,+96.11257713E+00,+1.04273991E+00,+1.21625116E+00,+100.27904311E+00,+116.93146066E+00
-49.20000E-03,+96.22744897E+00,+96.18997284E+00,+1.03492557E+00,+1.14702741E+00,+99.57568309E+00,+110.36952956E+00
-49.15000E-03,+96.18860059E+00,+96.22867070E+00,+1.03528077E+00,+1.10554405E+00,+99.57568309E+00,+106.38934185E+00
-49.10000E-03,+96.13680274E+00,+96.15127499E+00,+1.03800395E+00,+1.08798362E+00,+99.77664309E+00,+104.56060695E+00
-49.05000E-03,+96.13680274E+00,+96.15127499E+00,+1.04451589E+00,+1.07678566E+00,+100.42976311E+00,+103.48488055E+00
-49.00000E-03,+96.18860059E+00,+96.22867070E+00,+1.03539917E+00,+1.01952336E+00,+99.57568309E+00,+98.10624850E+00
-48.95000E-03,+96.22744897E+00,+96.24156999E+00,+1.03149200E+00,+972.95003E-03,+99.27424308E+00,+93.58819758E+00
-48.90000E-03,+96.18860059E+00,+96.22867070E+00,+1.03539917E+00,+933.24817E-03,+99.57568309E+00,+89.82315515E+00
