x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-25.00000E-03,+204.89424121E+00,+44.98744869E+00,-22.02510509E+00,+2.01741096E+00
-24.97500E-03,+204.54277677E+00,+45.45606795E+00,-20.73640213E+00,+2.01657414E+00
-24.95000E-03,+203.95700270E+00,+45.22175832E+00,-21.08786657E+00,+2.01573732E+00
-24.92500E-03,+203.83984789E+00,+45.45606795E+00,-20.15062806E+00,+2.01406368E+00
-24.90000E-03,+203.01976418E+00,+46.39330646E+00,-19.21338955E+00,+2.02745281E+00
-24.87500E-03,+202.78545456E+00,+45.45606795E+00,-19.56485399E+00,+2.02410552E+00
-24.85000E-03,+201.61390641E+00,+45.45606795E+00,-18.51046066E+00,+2.02075824E+00
-24.82500E-03,+201.61390641E+00,+45.45606795E+00,-18.04184140E+00,+2.02159506E+00
-24.80000E-03,+200.67666790E+00,+45.92468721E+00,-17.80753177E+00,+2.01406368E+00
-24.77500E-03,+200.32520346E+00,+45.69037758E+00,-16.51882882E+00,+2.01406368E+00
-24.75000E-03,+199.73942938E+00,+45.69037758E+00,-16.16736437E+00,+2.02243188E+00
-24.72500E-03,+199.27081013E+00,+45.45606795E+00,-15.46443549E+00,+2.02661598E+00
-24.70000E-03,+198.33357161E+00,+45.92468721E+00,-14.99581623E+00,+2.01741096E+00
-24.67500E-03,+197.86495236E+00,+46.27615165E+00,-14.52719697E+00,+2.02075824E+00
-24.65000E-03,+197.39633310E+00,+46.39330646E+00,-14.05857772E+00,+2.00904276E+00
-24.62500E-03,+196.92771384E+00,+46.04184202E+00,-13.12133920E+00,+2.01741096E+00
-24.60000E-03,+196.45909458E+00,+46.39330646E+00,-12.65271994E+00,+2.01071640E+00
-24.57500E-03,+195.05323681E+00,+46.39330646E+00,-11.48117180E+00,+2.01490050E+00
-24.55000E-03,+195.05323681E+00,+46.39330646E+00,-11.71548143E+00,+2.01741096E+00
-24.52500E-03,+194.58461756E+00,+46.27615165E+00,-11.24686217E+00,+2.02577916E+00
-24.50000E-03,+193.17875978E+00,+45.92468721E+00,-9.84100440E+00,+2.02410552E+00
-24.47500E-03,+193.64737904E+00,+46.39330646E+00,-9.48953996E+00,+2.01573732E+00
-24.45000E-03,+192.47583090E+00,+46.39330646E+00,-9.13807552E+00,+2.01908460E+00
-24.42500E-03,+191.65574720E+00,+46.74477091E+00,-9.02092070E+00,+2.01155322E+00
-24.40000E-03,+190.83566350E+00,+47.33054498E+00,-7.49790812E+00,+2.01741096E+00
-24.37500E-03,+190.36704424E+00,+46.62761609E+00,-7.26359849E+00,+2.00987958E+00
-24.35000E-03,+190.13273461E+00,+46.86192572E+00,-6.56066960E+00,+2.00736912E+00
-24.32500E-03,+189.31265091E+00,+46.51046128E+00,-5.38912146E+00,+2.01071640E+00
-24.30000E-03,+188.49256721E+00,+46.86192572E+00,-4.68619257E+00,+2.01406368E+00
-24.27500E-03,+187.90679314E+00,+46.74477091E+00,-4.21757331E+00,+2.01657414E+00
-24.25000E-03,+187.32101907E+00,+46.62761609E+00,-3.74895406E+00,+2.01741096E+00
-24.22500E-03,+186.73524500E+00,+46.86192572E+00,-2.81171554E+00,+2.01741096E+00
-24.20000E-03,+186.61809018E+00,+46.39330646E+00,-2.34309629E+00,+2.01071640E+00
-24.17500E-03,+184.97792278E+00,+47.33054498E+00,-1.99163184E+00,+2.00987958E+00
-24.15000E-03,+184.97792278E+00,+46.86192572E+00,-1.40585777E+00,+2.00736912E+00
-24.12500E-03,+184.62645834E+00,+47.21339016E+00,-937.23851E-03,+1.99230636E+00
-24.10000E-03,+183.33775538E+00,+46.86192572E+00,+0.0E+00,+2.00067456E+00
-24.07500E-03,+183.10344575E+00,+46.51046128E+00,+937.23851E-03,+2.00067456E+00
-24.05000E-03,+182.40051687E+00,+46.86192572E+00,+1.40585777E+00,+2.00067456E+00
-24.02500E-03,+181.81474280E+00,+46.86192572E+00,+1.99163184E+00,+2.01071640E+00
-24.00000E-03,+180.99465910E+00,+46.86192572E+00,+2.81171554E+00,+2.01406368E+00
-23.97500E-03,+180.87750428E+00,+46.74477091E+00,+4.21757331E+00,+2.00736912E+00
-23.95000E-03,+179.58880132E+00,+47.09623535E+00,+3.98326369E+00,+2.01239004E+00
-23.92500E-03,+179.35449170E+00,+46.86192572E+00,+4.21757331E+00,+2.01155322E+00
-23.90000E-03,+178.18294355E+00,+46.86192572E+00,+5.15481183E+00,+2.01071640E+00
-23.87500E-03,+177.48001467E+00,+46.86192572E+00,+5.74058590E+00,+1.99983774E+00
-23.85000E-03,+177.01139541E+00,+46.62761609E+00,+6.79497923E+00,+1.99900092E+00
-23.82500E-03,+176.30846652E+00,+46.27615165E+00,+7.02928886E+00,+2.00151138E+00
