x-axis,V1,V2,I1,I2,P1,P2
second,Volt,Volt,Ampere,Ampere,Watt,Watt
-50.00000E-03,+185.62284288E+00,+185.70709789E+00,+1.78323532E+00,+2.10928847E+00,+330.95296865E+00,+391.79837986E+00
-49.95000E-03,+185.62284288E+00,+185.65162982E+00,+1.79061773E+00,+2.17545824E+00,+332.34645483E+00,+403.82524866E+00
-49.90000E-03,+185.48363270E+00,+185.59616175E+00,+1.79010860E+00,+2.25638895E+00,+332.11420713E+00,+418.85883466E+00
-49.85000E-03,+185.48363270E+00,+185.48522561E+00,+1.80130951E+00,+2.33248418E+00,+334.20443641E+00,+432.73599098E+00
-49.80000E-03,+185.45579067E+00,+185.45749157E+00,+1.79749102E+00,+2.38033000E+00,+333.27544562E+00,+441.52485664E+00
-49.75000E-03,+185.48363270E+00,+185.42975754E+00,+1.80461887E+00,+2.43275682E+00,+334.66893180E+00,+451.00758012E+00
-49.70000E-03,+185.40010660E+00,+185.40202350E+00,+1.80869192E+00,+2.48951011E+00,+335.36567489E+00,+461.64673329E+00
-49.65000E-03,+185.26089643E+00,+185.29108736E+00,+1.81683804E+00,+2.52972097E+00,+336.52691338E+00,+468.81659739E+00
-49.60000E-03,+185.17737033E+00,+185.26335333E+00,+1.82982091E+00,+2.59487274E+00,+338.84939035E+00,+480.84346619E+00
-49.55000E-03,+185.12168626E+00,+185.15241719E+00,+1.83873072E+00,+2.65442553E+00,+340.47512424E+00,+491.48261936E+00
-49.50000E-03,+185.09384422E+00,+185.09694912E+00,+1.83771246E+00,+2.72034079E+00,+340.24287654E+00,+503.50948816E+00
-49.45000E-03,+185.17737033E+00,+185.06921508E+00,+1.83898529E+00,+2.76844112E+00,+340.47512424E+00,+512.29835383E+00
-49.40000E-03,+185.14952829E+00,+185.09694912E+00,+1.83363940E+00,+2.79770851E+00,+339.54613345E+00,+517.84921635E+00
-49.35000E-03,+185.06600219E+00,+185.01374701E+00,+1.83643963E+00,+2.82290392E+00,+339.77838114E+00,+522.24364918E+00
-49.30000E-03,+184.89894998E+00,+184.98601298E+00,+1.84942250E+00,+2.88907369E+00,+341.86861042E+00,+534.50180393E+00
-49.25000E-03,+184.84326591E+00,+184.90281087E+00,+1.86215080E+00,+2.96949540E+00,+344.19108739E+00,+549.07281805E+00
-49.20000E-03,+184.84326591E+00,+184.84734280E+00,+1.86571472E+00,+3.03286568E+00,+344.88783048E+00,+560.63711498E+00
-49.15000E-03,+184.84326591E+00,+184.87507684E+00,+1.87691563E+00,+3.04660863E+00,+346.97805976E+00,+563.18126030E+00
-49.10000E-03,+184.78758185E+00,+184.84734280E+00,+1.87869759E+00,+3.05958808E+00,+347.21030746E+00,+565.49411969E+00
-49.05000E-03,+184.70405574E+00,+184.73640666E+00,+1.87818846E+00,+3.10259843E+00,+346.97805976E+00,+573.12655566E+00
-49.00000E-03,+184.67621371E+00,+184.65320456E+00,+1.88811654E+00,+3.15120775E+00,+348.60379364E+00,+581.91542132E+00
-48.95000E-03,+184.64837167E+00,+184.62547052E+00,+1.88557088E+00,+3.22653948E+00,+348.13929825E+00,+595.79257763E+00
-48.90000E-03,+184.67621371E+00,+184.70867263E+00,+1.88175239E+00,+3.24791741E+00,+347.44255515E+00,+599.95572453E+00
-48.85000E-03,+184.73189778E+00,+184.73640666E+00,+1.87080604E+00,+3.27005883E+00,+345.58457358E+00,+604.11887142E+00
-48.80000E-03,+184.70405574E+00,+184.70867263E+00,+1.87640650E+00,+3.25936987E+00,+346.51356436E+00,+602.03729797E+00
-48.75000E-03,+184.59268760E+00,+184.59773649E+00,+1.89040763E+00,+3.28507428E+00,+349.06828903E+00,+606.43173081E+00
-48.70000E-03,+184.56484557E+00,+184.62547052E+00,+1.89244416E+00,+3.35073504E+00,+349.30053673E+00,+618.68988555E+00
-48.65000E-03,+184.62052964E+00,+184.65320456E+00,+1.89218959E+00,+3.37593045E+00,+349.30053673E+00,+623.31560432E+00
-48.60000E-03,+184.56484557E+00,+184.62547052E+00,+1.89524439E+00,+3.32452163E+00,+349.76503213E+00,+613.83288084E+00
-48.55000E-03,+184.48131947E+00,+184.57000245E+00,+1.90720899E+00,+3.37822094E+00,+351.85526140E+00,+623.54689026E+00
-48.50000E-03,+184.50916150E+00,+184.54226842E+00,+1.90593616E+00,+3.41588681E+00,+351.62301371E+00,+630.48546841E+00
-48.45000E-03,+184.50916150E+00,+184.57000245E+00,+1.90568160E+00,+3.41690480E+00,+351.62301371E+00,+630.71675435E+00
-48.40000E-03,+184.50916150E+00,+184.54226842E+00,+1.90669986E+00,+3.44260921E+00,+351.85526140E+00,+635.34247312E+00
-48.35000E-03,+184.50916150E+00,+184.45906631E+00,+1.90008114E+00,+3.43548324E+00,+350.69402292E+00,+633.72347155E+00
-48.30000E-03,+184.53700354E+00,+184.51453438E+00,+1.90033571E+00,+3.45380717E+00,+350.69402292E+00,+637.19276063E+00
-48.25000E-03,+184.59268760E+00,+184.57000245E+00,+1.89575352E+00,+3.46831362E+00,+349.99727982E+00,+640.19947783E+00
-48.20000E-03,+184.64837167E+00,+184.59773649E+00,+1.88480718E+00,+3.49376353E+00,+348.13929825E+00,+645.05648254E+00
-48.15000E-03,+184.73189778E+00,+184.68093859E+00,+1.88047956E+00,+3.45380717E+00,+347.44255515E+00,+637.88661845E+00
-48.10000E-03,+184.64837167E+00,+184.59773649E+00,+1.89244416E+00,+3.41512331E+00,+349.53278443E+00,+630.48546841E+00
-48.05000E-03,+184.56484557E+00,+184.54226842E+00,+1.89931744E+00,+3.40621584E+00,+350.46177522E+00,+628.63518090E+00
-48.00000E-03,+184.50916150E+00,+184.48680035E+00,+1.89702635E+00,+3.40061686E+00,+349.99727982E+00,+627.47875121E+00
-47.95000E-03,+184.48131947E+00,+184.45906631E+00,+1.90262680E+00,+3.39985337E+00,+350.92627061E+00,+627.24746527E+00
-47.90000E-03,+184.42563540E+00,+184.43133228E+00,+1.90440877E+00,+3.39120040E+00,+351.15851831E+00,+625.39717777E+00
-47.85000E-03,+184.45347743E+00,+184.43133228E+00,+1.90593616E+00,+3.39807187E+00,+351.62301371E+00,+626.78489340E+00
-47.80000E-03,+184.42563540E+00,+184.45906631E+00,+1.90695443E+00,+3.37084047E+00,+351.62301371E+00,+621.69660275E+00
-47.75000E-03,+184.36995133E+00,+184.45906631E+00,+1.90771812E+00,+3.33851908E+00,+351.62301371E+00,+615.91445429E+00
-47.70000E-03,+184.45347743E+00,+184.48680035E+00,+1.90211767E+00,+3.30059872E+00,+350.92627061E+00,+608.97587613E+00
-47.65000E-03,+184.36995133E+00,+184.43133228E+00,+1.90059027E+00,+3.28736477E+00,+350.46177522E+00,+606.20044487E+00
-47.60000E-03,+184.42563540E+00,+184.43133228E+00,+1.90619073E+00,+3.25733387E+00,+351.62301371E+00,+600.64958234E+00
