x-axis,1,2,3,4
second,Volt,Volt,Volt,Ampere
-25.00000E-03,+212.39435241E+00,+29.14226052E+00,-24.28033480E+00,+1.59657949E+00
-24.97500E-03,+212.62866203E+00,+29.02510571E+00,-24.86610887E+00,+1.60578451E+00
-24.95000E-03,+212.62866203E+00,+29.37657015E+00,-25.21757331E+00,+1.60494769E+00
-24.92500E-03,+213.09728129E+00,+29.14226052E+00,-25.45188294E+00,+1.61080543E+00
-24.90000E-03,+213.33159092E+00,+29.14226052E+00,-25.68619257E+00,+1.61331589E+00
-24.87500E-03,+212.86297166E+00,+29.14226052E+00,-24.86610887E+00,+1.62335773E+00
-24.85000E-03,+212.62866203E+00,+29.61087978E+00,-24.74895406E+00,+1.62670501E+00
-24.82500E-03,+213.09728129E+00,+29.96234422E+00,-25.45188294E+00,+1.62921547E+00
-24.80000E-03,+212.86297166E+00,+29.14226052E+00,-25.21757331E+00,+1.63339957E+00
-24.77500E-03,+212.04288796E+00,+29.49372496E+00,-24.74895406E+00,+1.63591003E+00
-24.75000E-03,+211.92573315E+00,+29.61087978E+00,-24.98326369E+00,+1.63507321E+00
-24.72500E-03,+212.39435241E+00,+29.61087978E+00,-25.10041850E+00,+1.63842049E+00
-24.70000E-03,+211.92573315E+00,+28.67364126E+00,-24.74895406E+00,+1.64344141E+00
-24.67500E-03,+212.27719759E+00,+29.49372496E+00,-24.86610887E+00,+1.64595187E+00
-24.65000E-03,+212.16004278E+00,+28.90795089E+00,-24.74895406E+00,+1.64846233E+00
-24.62500E-03,+211.69142352E+00,+29.14226052E+00,-25.21757331E+00,+1.64929915E+00
-24.60000E-03,+211.45711389E+00,+29.14226052E+00,-24.74895406E+00,+1.65348325E+00
-24.57500E-03,+211.57426871E+00,+29.96234422E+00,-24.98326369E+00,+1.66603556E+00
-24.55000E-03,+211.45711389E+00,+29.61087978E+00,-24.28033480E+00,+1.67021966E+00
-24.52500E-03,+210.63703019E+00,+29.61087978E+00,-24.16317999E+00,+1.67273012E+00
-24.50000E-03,+210.98849463E+00,+29.14226052E+00,-23.81171554E+00,+1.66352510E+00
-24.47500E-03,+210.63703019E+00,+29.72803459E+00,-24.04602517E+00,+1.66352510E+00
-24.45000E-03,+210.75418501E+00,+29.84518941E+00,-23.57740591E+00,+1.66185145E+00
-24.42500E-03,+210.63703019E+00,+29.61087978E+00,-23.46025110E+00,+1.66938284E+00
-24.40000E-03,+210.05125612E+00,+30.07949904E+00,-23.34309629E+00,+1.67356694E+00
-24.37500E-03,+209.69979168E+00,+30.07949904E+00,-23.69456073E+00,+1.68946652E+00
-24.35000E-03,+209.58263686E+00,+29.84518941E+00,-23.57740591E+00,+1.69197698E+00
-24.32500E-03,+209.58263686E+00,+30.07949904E+00,-23.10878666E+00,+1.68193514E+00
-24.30000E-03,+210.05125612E+00,+30.07949904E+00,-22.40585777E+00,+1.69030334E+00
-24.27500E-03,+209.34832723E+00,+30.54811829E+00,-23.10878666E+00,+1.69114016E+00
-24.25000E-03,+208.87970798E+00,+30.78242792E+00,-22.64016740E+00,+1.68695606E+00
-24.22500E-03,+208.52824353E+00,+30.54811829E+00,-22.17154814E+00,+1.69030334E+00
-24.20000E-03,+207.70815983E+00,+30.54811829E+00,-21.46861926E+00,+1.70034518E+00
-24.17500E-03,+207.59100502E+00,+30.43096348E+00,-22.28870296E+00,+1.70201882E+00
-24.15000E-03,+207.94246946E+00,+30.54811829E+00,-21.23430963E+00,+1.70871338E+00
-24.12500E-03,+207.23954058E+00,+30.19665385E+00,-21.93723851E+00,+1.71038702E+00
-24.10000E-03,+207.23954058E+00,+31.01673755E+00,-20.53138074E+00,+1.71708158E+00
-24.07500E-03,+207.12238576E+00,+30.54811829E+00,-21.00000000E+00,+1.71457112E+00
-24.05000E-03,+206.06799243E+00,+30.78242792E+00,-20.06276149E+00,+1.71540794E+00
-24.02500E-03,+206.41945688E+00,+30.89958274E+00,-19.94560667E+00,+1.71122384E+00
-24.00000E-03,+205.83368281E+00,+30.54811829E+00,-19.59414223E+00,+1.72042886E+00
-23.97500E-03,+205.36506355E+00,+31.01673755E+00,-19.12552297E+00,+1.71708158E+00
-23.95000E-03,+205.36506355E+00,+31.01673755E+00,-19.12552297E+00,+1.71875522E+00
-23.92500E-03,+204.66213466E+00,+31.36820199E+00,-18.30543927E+00,+1.72628660E+00
-23.90000E-03,+204.42782503E+00,+31.01673755E+00,-18.18828446E+00,+1.73047070E+00
-23.87500E-03,+203.95920578E+00,+31.13389236E+00,-17.95397483E+00,+1.73632844E+00
