x-axis,V1,V2,I1,I2,P1,P2
second,Volt,Volt,Ampere,Ampere,Watt,Watt
-21.935000E-03,+197.690197468E+00,+383.508578052E+00,+22.554376915E+00,+16.155811653E+00,+4.455888524029E+03,+6.197605810368E+03
-21.926666E-03,+197.190883038E+00,+383.608182923E+00,+22.503258769E+00,+16.165991749E+00,+4.437957599125E+03,+6.202579811821E+03
-21.918332E-03,+196.333546991E+00,+383.389290780E+00,+22.359208490E+00,+16.178767768E+00,+4.391466039345E+03,+6.202579811821E+03
-21.909998E-03,+195.713295493E+00,+383.628461760E+00,+22.340819093E+00,+16.165991749E+00,+4.369991877783E+03,+6.202579811821E+03
-21.901664E-03,+194.694310889E+00,+383.906997539E+00,+22.191405239E+00,+16.113258854E+00,+4.319742339729E+03,+6.184275486474E+03
-21.893330E-03,+194.175838112E+00,+383.803814049E+00,+22.181936889E+00,+16.072716623E+00,+4.305569393098E+03,+6.167761801650E+03
-21.884996E-03,+193.259829626E+00,+383.686316086E+00,+22.018238414E+00,+16.071978566E+00,+4.252098730809E+03,+6.167761801650E+03
-21.876662E-03,+192.661131269E+00,+383.967237611E+00,+21.990271206E+00,+16.062434726E+00,+4.233738322675E+03,+6.167761801650E+03
-21.868328E-03,+191.664897203E+00,+384.126486118E+00,+21.839379633E+00,+16.008200267E+00,+4.187461504510E+03,+6.147865795838E+03
-21.859994E-03,+191.162589282E+00,+383.987516447E+00,+21.826299080E+00,+15.993006475E+00,+4.176402311306E+03,+6.142891794385E+03
-21.851660E-03,+189.625730599E+00,+383.520506779E+00,+21.605352660E+00,+16.088877525E+00,+4.094048901717E+03,+6.169254002086E+03
-21.843326E-03,+188.605548599E+00,+383.455495216E+00,+21.572076607E+00,+16.220098956E+00,+4.069353615921E+03,+6.219342196717E+03
-21.834992E-03,+187.576984822E+00,+383.575378924E+00,+21.410074774E+00,+16.224221895E+00,+4.015668212017E+03,+6.222475817633E+03
-21.826658E-03,+187.332715892E+00,+383.968430484E+00,+21.391794837E+00,+16.107125346E+00,+4.004931131236E+03,+6.184126266431E+03
-21.818324E-03,+186.577158566E+00,+384.022706192E+00,+21.239535006E+00,+15.970992018E+00,+3.961982808113E+03,+6.132943791480E+03
-21.809990E-03,+185.892846344E+00,+384.233248226E+00,+21.218409091E+00,+15.944320168E+00,+3.940508646551E+03,+6.127969790027E+03
-21.801656E-03,+184.731970230E+00,+384.062070992E+00,+21.053889661E+00,+15.982037422E+00,+3.889829625267E+03,+6.137917792933E+03
-21.793322E-03,+184.219484436E+00,+384.138414845E+00,+21.043819277E+00,+16.011305197E+00,+3.876086161867E+03,+6.149805656405E+03
-21.784988E-03,+183.265159255E+00,+384.038213537E+00,+20.896047334E+00,+15.970177610E+00,+3.833137838743E+03,+6.132943791480E+03
-21.776654E-03,+182.575458748E+00,+384.251737753E+00,+20.879628229E+00,+15.984607896E+00,+3.811663677182E+03,+6.141548813993E+03
-21.768320E-03,+181.537315797E+00,+384.140800591E+00,+20.684788186E+00,+16.002092210E+00,+3.757978273278E+03,+6.147865795838E+03
-21.759986E-03,+181.102062091E+00,+384.467051279E+00,+20.688072007E+00,+15.979848701E+00,+3.747241192497E+03,+6.142891794385E+03
